time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
1,785,2048,2,,,,,,,,,,,,,,,,
2,807,4096,5,932.9140232499999,0.09965866666666667,939.0,9.965866666666667e-05,-1.337766955792904,0.028662109375,-0.009034213609993458,0.006560215586796403,0.9161186218261719,0.0010143011,0.4187019467353821,-0.003172107948921621,10,,,
3,824,6144,7,932.9140232499999,0.09931733333333334,939.0,9.931733333333335e-05,-1.327710708975792,0.061572265625,0.0007193181663751602,0.01937431738479063,0.9102262854576111,0.0017155181,0.783350944519043,-0.0040864862181479115,20,,,
4,817,8192,10,963.0661633750001,0.09897600000000001,969.5,9.8976e-05,-1.322278393805027,0.058203125,0.001612113555893302,0.004763612762326374,0.9060057401657104,0.0013560997,0.7532587051391602,-0.0030181684269336984,30,,,
5,825,10240,12,963.0661633750001,0.09863466666666668,969.5,9.863466666666667e-05,-1.317152750492096,0.04833984375,-0.009316949173808098,0.00438077772851102,0.900589644908905,0.0011204958,0.5472195148468018,-0.004139355625375174,40,,,
6,828,12288,14,974.2944921666667,0.09829333333333334,979.6666666666666,9.829333333333334e-05,-1.3124323934316635,0.019091796875,-0.0011638372670859098,0.0052094670973019674,0.8978301882743835,0.00066236366,-0.019507408142089844,-0.001760705678316299,50,,,
7,821,14336,17,974.2944921666667,0.097952,979.6666666666666,9.7952e-05,-1.3084847077727317,0.040380859375,-0.0007274756208062172,0.0038775034801801665,0.8933196067810059,0.0013434939,-3.353595733642578,-0.002352051521302201,60,,,
8,817,16384,20,980.0811419375,0.09761066666666668,984.75,9.761066666666668e-05,-1.302923257648945,0.020361328125,0.004585081711411476,0.003931855672271922,0.8874890208244324,0.0008039395,-0.10823988914489746,-0.001834656999562867,70,,,
9,814,18432,22,980.0811419375,0.09726933333333333,984.75,9.726933333333334e-05,-1.2969911217689514,0.021240234375,-0.002124610124155879,0.0029348291529458946,0.8829466700553894,0.00087885745,-0.09344851970672607,-0.002204706845805049,80,,,
,,20000,,,0.09692800000000001,,9.6928e-05,-1.291480715572834,0.012158203125,0.0010026359232142568,0.00224470663088141,0.8772480487823486,0.0007361773,-1.6573033332824707,-0.0012888627534266561,90,997.6577599,1000.0,
10,386,20480,53,983.6076337500001,,987.8,,,,,,,,,,,,,0.25
11,405,22528,55,983.6076337500001,0.09658666666666667,987.8,9.658666666666667e-05,-1.2842234522104263,0.020751953125,-0.0029980745166540146,0.002331067442719359,0.8705214858055115,0.0007142336,0.2696009874343872,-0.0020339196707936935,100,,,
12,421,24576,58,985.8808744166666,0.09624533333333335,989.8333333333334,9.624533333333335e-05,-1.2768483191728592,0.03720703125,-0.004619306419044733,0.0020615013505448586,0.8645002841949463,0.0011288967,-0.5037657022476196,-0.0027595591673161834,110,,,
13,434,26624,61,985.8808744166666,0.095904,989.8333333333334,9.590400000000001e-05,-1.2692407429218293,0.00029296875,-0.00033085112227126956,0.0016826498380396516,0.8572806715965271,0.0001259442,-1.8155715465545654,-0.0006312648358289153,120,,,
14,445,28672,64,987.4600577142857,0.09556266666666667,991.2857142857143,9.556266666666667e-05,-1.262729360163212,0.025,-0.0006052849348634481,0.002347775078669656,0.8540707230567932,0.0009890558,0.22107219696044922,-0.001417376793688163,130,,,
15,458,30720,67,987.4600577142857,0.09522133333333334,991.2857142857143,9.522133333333334e-05,-1.259236493706703,0.01884765625,-0.005117802880704403,0.002476507610117551,0.85088050365448,0.0007392792,0.1642879843711853,-0.0014747396460734307,140,,,
