time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length,curriculum/start_tilt
2048,502,1,4,89.75,9.5356177,,,,,,,,,,,,,,
4096,510,2,8,100.57894736842105,10.862511789473686,0.0043926463,10,-1.4192932769656181,-0.003400132857495919,0.2526590622961521,0.00029969279999999995,1.0004584789276123,0.17230482399463654,0.02138671875,0.1997952,0.0896153450012207,,,
6144,500,3,12,113.9795918367347,11.770282836734694,0.0070607327,20,-1.414297303557396,-0.0036844392685452475,0.19213208705186843,0.0002993856,0.9913333654403687,0.06907196342945099,0.0548828125,0.1995904,0.6944317817687988,,,
8192,495,4,16,123.38709677419355,12.425859983870964,0.0060854703,30,-1.4054997101426125,-0.00783523746940773,0.13191151348873972,0.00029907839999999996,0.9810205101966858,0.03885771334171295,0.06884765625,0.19938560000000002,0.6798846125602722,,,
10240,489,5,20,123.7625,14.062444487499999,0.006049979,40,-1.393962998688221,-0.0065627896168734875,0.191588794067502,0.0002987712,0.9701281785964966,0.06352268159389496,0.0779296875,0.19918080000000002,0.6904672384262085,,,
12288,489,6,25,116.9,16.245319539999997,0.003737032,50,-1.3841756001114844,-0.004734910288243554,0.3222518278285861,0.00029846399999999997,0.9612818956375122,0.12950703501701355,0.034375,0.19897600000000001,0.7516083717346191,,,
14336,488,7,29,127.13,20.11910639,0.00646072,60,-1.377070416510105,-0.005087325471686199,0.47704927437007427,0.00029815679999999994,0.9579595327377319,0.18896551430225372,0.075927734375,0.1987712,0.6985800862312317,,,
16384,484,8,33,132.32,23.137783219999996,0.005927529,70,-1.377654641866684,-0.005500093306181952,0.21594124753028154,0.0002978496,0.9602485299110413,0.06800424307584763,0.063525390625,0.19856640000000003,0.7652368545532227,,,
18432,483,9,38,126.34,26.842566850000004,0.008048467,80,-1.3792807728052139,-0.006788317163591273,0.2340403851121664,0.0002975424,0.9620550870895386,0.07697555422782898,0.087841796875,0.19836160000000003,0.7733652591705322,,,
20000,,,,,,0.005541219,90,-1.3795964151620865,-0.005495332104328554,0.20735714314505457,0.0002972352,0.961555540561676,0.0793197900056839,0.04658203125,0.19815680000000002,0.8422824740409851,95.7982498,100.0,
20480,454,10,45,117.12,33.170753870000006,,,,,,,,,,,,,,0.05
22528,459,11,49,118.01,38.4343314,0.008245618,100,-1.378677822649479,-0.009049749496625736,0.20281372582539917,0.00029692799999999996,0.9615092873573303,0.08166566491127014,0.08505859375,0.19795200000000002,0.8600702881813049,,,
24576,462,12,53,129.16,46.79417793999999,0.008963481,110,-1.3728754192590713,-0.01249884522985667,0.11651594983413815,0.00029662079999999994,0.9492475986480713,0.03941086307168007,0.104833984375,0.1977472,0.9137941598892212,,,
26624,469,13,56,131.38,49.867485339999995,0.010091222,120,-1.361167921125889,-0.011558660573791712,0.10036029014736414,0.00029631359999999997,0.9406138062477112,0.03064178302884102,0.1001953125,0.1975424,0.9095923900604248,,,
28672,473,14,60,132.32,51.32466528,0.0074402355,130,-1.3528297051787377,-0.008570887296809816,0.05565163637511432,0.0002960064,0.9310294985771179,0.007102979347109795,0.059912109375,0.1973376,0.9273333549499512,,,
30720,473,15,64,154.79,74.56787416,0.008603431,140,-1.3334377899765968,-0.012747916177613661,0.032601757417432965,0.0002956992,0.9050401449203491,0.0003615599125623703,0.08740234375,0.1971328,0.9055859446525574,,,
