time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,eval/mean_reward,eval/mean_ep_length
1,2048,12.627849779999996,2,13.72,947,,,,,,,,,,,,,
2,4096,13.581706489999998,4,14.68,886,0.1997952,-1.4160729557275773,0.0049768426,-0.0040165774727938695,1.9545262217521668,0.0404296875,0.99306720495224,0.00029969279999999995,0.9420880079269409,-0.15754830837249756,10,,
3,6144,15.724486510000002,7,16.84,862,0.1995904,-1.405813704431057,0.012576252,-0.010982606583274901,0.4863889550790191,0.104052734375,0.9797025322914124,0.0002993856,0.11611198633909225,0.14980167150497437,20,,
4,8192,17.72376121,9,18.84,852,0.19938560000000002,-1.3905669391155242,0.014735904,-0.018615625821985303,0.2761324534192681,0.159326171875,0.9641116261482239,0.00029907839999999996,0.08558228611946106,0.6212478876113892,30,,
5,10240,22.02423894,11,23.16,857,0.19918080000000002,-1.3706470742821693,0.019293716,-0.027154085849178954,0.28070987947285175,0.233447265625,0.9418030977249146,0.0002987712,0.1080237627029419,0.7518298625946045,40,,
6,12288,29.012937400000006,14,30.18,826,0.19897600000000001,-1.348678107559681,0.025393542,-0.029344960954040288,0.3634899202734232,0.27685546875,0.9220964908599854,0.00029846399999999997,0.14454427361488342,0.7465975880622864,50,,
7,14336,36.80001282,17,38.03,829,0.1987712,-1.3281694889068603,0.015486181,-0.02539923637523316,0.45259576588869094,0.216552734375,0.9043456315994263,0.00029815679999999994,0.17939981818199158,0.7423145771026611,60,,
8,16384,47.04770161,19,48.39,828,0.19856640000000003,-1.3098743841052056,0.014045319,-0.02417689818830695,0.4210489675402641,0.196240234375,0.8885855674743652,0.0002978496,0.17148849368095398,0.7411272525787354,70,,
9,18432,62.10276143,22,63.61,825,0.19836160000000003,-1.2904803663492204,0.014473261,-0.017502941112616098,0.3117985313758254,0.118994140625,0.8702272772789001,0.0002975424,0.10429169237613678,0.7676749229431152,80,,
,20000,,,,,0.19815680000000002,-1.2718980237841606,0.0087724645,-0.013488690846133976,0.2973994305357337,0.09404296875,0.8552900552749634,0.0002972352,0.10860338807106018,0.7030669450759888,90,206.30342810000002,208.9
