time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward,curriculum/shake_force
12,1,578.4285714285714,576.5045528571428,340,4096,,,,,,,,,,,,,,
21,2,672.1666666666666,670.0431326666668,383,8192,9.972693333333334e-05,-0.0014933156009647064,10,-0.0017944021383300424,0.0630615234375,0.3235163688659668,0.09972693333333334,-0.29392822571098803,0.9589740037918091,0.0015003300562966616,0.0010567291,,,
30,3,710.6470588235294,708.2478020588235,397,12288,9.945386666666667e-05,-0.00025766272883629424,20,0.0007621005061082542,0.05869140625,0.3225240111351013,0.09945386666666667,-0.2890249576419592,0.9182322025299072,0.0014494429440674139,0.0007748853,,,
40,4,765.7619047619048,763.3674688571429,400,16384,9.918080000000001e-05,-0.0015417608796269634,30,0.00022758007980883121,0.0938720703125,0.32282882928848267,0.09918080000000001,-0.2879570938646793,0.887059211730957,0.0017428612292860635,0.0034100746,,,
,,,,,20000,9.890773333333334e-05,-0.0008720989266294054,40,-0.003522573970258236,0.0685546875,0.3224162459373474,0.09890773333333334,-0.28773336969316005,-1.5858805179595947,0.0003582760555218556,0.001443889,757.5,754.9574172,
93,5,770.04,767.5456734400001,218,20480,,,,,,,,,,,,,,0.03
104,6,801.7586206896551,799.3387459310346,235,24576,9.863466666666667e-05,0.0007324820762732998,50,-0.007155203726142645,0.0576171875,0.32277974486351013,0.09863466666666668,-0.28783955462276933,0.5356675982475281,0.0022968287477851844,0.0011925241,,,
114,7,797.7428571428571,795.3387337999999,250,28672,9.83616e-05,-0.0013025587133597583,60,-0.0032508305739611387,0.0838623046875,0.32290080189704895,0.09836160000000001,-0.28816763311624527,-1.736387014389038,0.0001275457134397584,0.001730954,,,
124,8,801.2564102564103,798.8952622820512,262,32768,9.808853333333335e-05,-0.0010156568510865326,70,0.0025533512234687805,0.1263671875,0.3245833218097687,0.09808853333333334,-0.2908734533935785,0.8402064442634583,0.010916271101450548,0.003020288,,,
135,9,784.2,781.8925275333334,271,36864,9.781546666666667e-05,-0.0016960140579612925,80,0.008642476983368397,0.172265625,0.3273070156574249,0.09781546666666667,-0.2981695491820574,0.7080356478691101,0.010640905988111626,0.0050495644,,,
,,,,,40000,9.75424e-05,-0.001552868109138217,90,-0.0038031048607081175,0.0751220703125,0.3280114531517029,0.0975424,-0.30348062999546527,0.9683671593666077,0.0012440751921531045,0.0015969347,621.1,618.7478185,
181,10,773.4901960784314,771.0518949215686,226,40960,,,,,,,,,,,,,,0.03
191,11,789.9636363636364,787.5466127818182,235,45056,9.726933333333334e-05,-0.0018232283618999645,100,-0.002037732396274805,0.0820068359375,0.32876282930374146,0.09726933333333333,-0.3054023336619139,0.6794130802154541,0.013109715038444847,0.0022138278,,,
201,12,778.327868852459,775.966588557377,243,49152,9.699626666666667e-05,-0.0012926315816002899,110,-0.0011162484297528863,0.075,0.32841819524765015,0.09699626666666666,-0.30623254664242266,0.06488418579101562,0.0005372574118155171,0.0014300074,,,
211,13,749.4202898550725,746.998334173913,252,53248,9.67232e-05,-0.0004878095060121268,120,0.0003746451111510396,0.079541015625,0.3273877799510956,0.09672320000000001,-0.30428417325019835,0.9142940640449524,0.0017610871011129348,0.0011927016,,,
